gender,country,fbref,fbref_name,fotmob,fotmob_name,transfermarkt,transfermarkt_name,transfermarkt_link,fcpython,fivethirtyeight,football_data,american_soccer_analysis
M,Germany,c7a9f859,Bayer Leverkusen,8178.0,Bayer Leverkusen,15.0,Bayer 04 Leverkusen,bayer-04-leverkusen,Bayer 04 Leverkusen,Bayer Leverkusen,Leverkusen,
M,Germany,054efa67,Bayern Munich,9823.0,Bayern München,27.0,Bayern Munich,fc-bayern-munchen,Bayern Munich,Bayern Munich,Bayern Munich,
M,Germany,add600ae,Dortmund,9789.0,Borussia Dortmund,16.0,Borussia Dortmund,borussia-dortmund,Borussia Dortmund,Borussia Dortmund,Dortmund,
M,Germany,32f3ee20,Mönchengladbach,9788.0,Borussia M'Gladbach,18.0,Borussia Mönchengladbach,borussia-monchengladbach,Borussia Mönchengladbach,Borussia Monchengladbach,M'gladbach,
M,Germany,f0ac8ee6,Eintracht Frankfurt,9810.0,Eintracht Frankfurt,24.0,Eintracht Frankfurt,eintracht-frankfurt,Eintracht Frankfurt,Eintracht Frankfurt,Ein Frankfurt,
M,Germany,0cdc4311,Augsburg,8406.0,FC Augsburg,167.0,FC Augsburg,fc-augsburg,FC Augsburg,FC Augsburg,Augsburg,
M,Germany,bc357bf7,Köln,8722.0,1. FC Köln,3.0,1. FC Köln,1-fc-koln,1. FC Köln,FC Cologne,FC Koln,
M,Germany,b1278397,Düsseldorf,8194.0,Fortuna Düsseldorf,38.0,Fortuna Düsseldorf,fortuna-dusseldorf,Fortuna Düsseldorf,Fortuna Düsseldorf,Fortuna Dusseldorf,
M,Germany,26790c6a,Hamburger SV,9790.0,Hamburger SV,41.0,Hamburger SV,hamburger-sv,Hamburger SV,Hamburg SV,Hamburg,
M,Germany,60b5e41f,Hannover 96,9904.0,Hannover 96,42.0,Hannover 96,hannover-96,Hannover 96,Hannover 96,Hannover,
M,Germany,2818f8bc,Hertha BSC,8177.0,Hertha BSC,44.0,Hertha BSC,hertha-bsc,Hertha BSC,Hertha Berlin,Hertha,
M,Germany,a224b06a,Mainz 05,9905.0,Mainz 05,39.0,1.FSV Mainz 05,1-fsv-mainz-05,1.FSV Mainz 05,Mainz,Mainz,
M,Germany,acbb6a5b,RB Leipzig,178475.0,RB Leipzig,23826.0,RB Leipzig,rasenballsport-leipzig,RB Leipzig,RB Leipzig,RB Leipzig,
M,Germany,a486e511,Freiburg,8358.0,SC Freiburg,60.0,SC Freiburg,sc-freiburg,SC Freiburg,SC Freiburg,Freiburg,
M,Germany,d9f93f02,Paderborn 07,8460.0,Paderborn,127.0,SC Paderborn 07,sc-paderborn-07,SC Paderborn 07,SC Paderborn,Paderborn,
M,Germany,c539e393,Schalke 04,10189.0,Schalke 04,33.0,FC Schalke 04,fc-schalke-04,FC Schalke 04,Schalke 04,Schalke 04,
M,Germany,12192a4c,Greuther Fürth,8357.0,Greuther Fürth,65.0,SpVgg Greuther Fürth,spvgg-greuther-furth,SpVgg Greuther Fürth,SpVgg Greuther Fürt,Greuther Furth,
M,Germany,033ea6b8,Hoffenheim,8226.0,TSG Hoffenheim,533.0,TSG 1899 Hoffenheim,tsg-1899-hoffenheim,TSG 1899 Hoffenheim,TSG Hoffenheim,Hoffenheim,
M,Germany,598bc722,Stuttgart,10269.0,VfB Stuttgart,79.0,Vfb Stuttgart,vfb-stuttgart,Vfb Stuttgart,VfB Stuttgart,Stuttgart,
M,Germany,b42c6323,Bochum,9911.0,VfL Bochum,80.0,VfL Bochum,vfl-bochum,VfL Bochum,VfL Bochum,Bochum,
M,Germany,4eaa11d7,Wolfsburg,8721.0,Wolfsburg,82.0,Vfl Wolfsburg,vfl-wolfsburg,Vfl Wolfsburg,VfL Wolfsburg,Wolfsburg,
M,Germany,62add3bf,Werder Bremen,8697.0,Werder Bremen,86.0,SV Werder Bremen,sv-werder-bremen,SV Werder Bremen,Werder Bremen,Werder Bremen,
M,Gibraltar,2d3c1b6d,Lincoln Red Imps,545012.0,Lincoln Red Imps FC,38204.0,Lincoln Red Imps FC,lincoln-red-imps-fc,,,,
M,Greece,d5348c80,AEK Athens,8563.0,AEK Athens,2441.0,AEK Athens,aek-athen,AEK Athens,AEK Athens,AEK,
M,Greece,2fdb4aef,Olympiacos,8638.0,Olympiacos,683.0,Olympiacos Piraeus,olympiakos-piraus,Olympiacos Piraeus,Olympiacos,Olympiakos,
M,Greece,5a5e7874,PAOK,8619.0,PAOK Thessaloniki FC,1091.0,PAOK Thessaloniki,paok-thessaloniki,PAOK Thessaloniki,PAOK Salonika,PAOK,
